vehicle_id,brand,model,category,year,price_usd,product_url,voltage_v,battery_ah,peak_kw,rated_kw,top_speed_mph,range_mi,weight_kg,wheelbase_mm,front_suspension,rear_suspension,controller,frame,regen,colors,warranty,notes,data_quality,source
79bike-falcon-pro,79Bike,Falcon Pro,emoto,,3799,https://79bike.com/products/79bike-falcon-pro,72,35,10,10,56,75,130,1250,Susp FASTACE,Susp FASTACE,Sine-180A,Aluminum,Yes,Black/White,1 yr,,verified,bikes-csv
altis-sigma-mx,Altis,Sigma MX,emoto,,5299,https://www.altispowersports.com/products/altis-sigma,98,35,23,,64,50,185,1285,200 mm air,85 mm linkage,450 A phase,Aluminum,Yes,Black,1 yr,,verified,bikes-csv
amped-drill-one-enduro,Amped,Drill One Enduro,emoto,,10500,https://ampedbikes.com/products/drill-one-enduro,52,42,15,15,56,3,115,1220,Classic forks/Manitou,Mono-shock,Advanced controller,Aluminum,Yes,"Black/Sand,Green,Grey",1 yr,Brand column 'Altis' != inferred 'Amped'; Model column 'XXX' != inferred 'Drill One Enduro',messy,bikes-csv
arctic-leopard-xe-800,Arctic Leopard,XE 800,emoto,,7999,https://arcticleopard.eu/en/model/cheetah-e-xe-800/,74,75,27,27,62,60,180,1320,240 mm USD,210 mm multilink,FOC sine wave,Forged aluminum alloy,"Yes, multi-gear",Multiple finishes,12 mo,URL updated 2026-08-20 to live official/official-dealer page.,verified,https://arcticleopard.eu/en/model/cheetah-e-xe-800/
arctic-leopard-xe-pro-s,Arctic Leopard,XE Pro S,emoto,,5450,https://creatureracing.com/shop/products/2026-arctic-leopard-xe-pro-s,72,55,20,20,63,50,,1300,37 mm USD 202 mm stroke,210 mm adjustable mono,FOC PMSM,Forged aluminum alloy,Yes,Standard colors,12 mo,garbled weight 72159.0 | URL updated 2026-08-20 to live official/official-dealer page.,messy,https://creatureracing.com/shop/products/2026-arctic-leopard-xe-pro-s
arctic-leopard-xf,Arctic Leopard,XF,emoto,,3699,https://arctic-leopard-usa.com/products/arctic-leopard-xf,72,35,12,12,60,50,,1300,37 mm USD 202 mm stroke,210 mm adjustable mono,FOC PMSM,Forged aluminum alloy,Yes,Standard colors,12 mo,garbled weight 72159.0,messy,bikes-csv
bmw-ce-02,BMW,CE 02,emoto,2025,7599,https://www.bmwmotorcycles.com/en/models/urban_mobility/ce02.html,,,11,,59,59,132,,,,,,,,,Official US BMW Motorrad 2025 CE 02 eParkourer. Base MSRP $7599. US page estimated range up to 59 miles; from 290 lb. 11 kW variant used (EU press also lists 4 kW / 45 km/h AM version not added). Full voltage/Ah table not captured (page fetch timeout).,messy,https://www.bmwmotorcycles.com/en/models/urban_mobility/ce02.html
braxx-gt,BRAXX,GT,emoto,,4299,https://shop.braxxusa.com/,72,38,8,4,65,60,95,1320,USD fork 41 mm,Mono-shock,FOC Vector Control,Aluminum Alloy,Yes,"Black,Red",1 yr,URL updated 2026-08-20 to live official/official-dealer page.,verified,https://shop.braxxusa.com/
braxx-gt-pro,BRAXX,GT PRO,emoto,,4799,https://shop.braxxusa.com/,72,38,15,8,75,60,90,1300,Adjustable sport,Mono-shock,FOC Vector Control 80 A,Aluminum Alloy,Yes,"Black,Red",1 yr,URL updated 2026-08-20 to live official/official-dealer page.,verified,https://shop.braxxusa.com/
black-tea-bonfire-e,Black Tea,Bonfire E,emoto,,4800,https://www.blackteamotorbikes.com/,52,35,5,3,80,75,86,1300,31 mm hydraulic fork,"Dual shocks,335 mm",Sine-wave BLDC,"Aluminum fork, dual shocks",Yes,"Black,Grey,Black/White,Yellow",1 Year Standard,,verified,bikes-csv
black-tea-bonfire-s,Black Tea,Bonfire S,emoto,,5300,https://www.blackteamotorbikes.com/collections/frontpage,52,35,5.4,3,85,75,86,1300,31 mm hydraulic fork,"Dual shocks,335 mm",Sine-wave BLDC,"Aluminum fork, dual shocks",Yes,"Black/Sand,Green",1 Year Standard,,verified,bikes-csv
black-tea-bonfire-x,Black Tea,Bonfire X,emoto,,6000,https://www.blackteamotorbikes.com/products/bonfirex,104,35,8,5,50,55,125,1300,31 mm hydraulic fork,"Dual shocks,335 mm",Sine-wave BLDC,Steel tube frame,Yes,"Black,Red",1 Year Standard,,verified,https://www.blackteamotorbikes.com/products/bonfirex
bonnell-805,Bonnell,805,emoto,,10500,https://ridebonnell.com/products/bonnell-emoto-805-902?variant=50609440489788,110,,42,30,80,70,211,1350,Sirris 245 mm,Sirris 245 mm,6-axis IMU,Aluminum Alloy,Yes,Multiple,-,,verified,bikes-csv
bonnell-902,Bonnell,902,emoto,,12000,https://ridebonnell.com/products/bonnell-emoto-902-805?variant=50609428693308,87,,65,46,90,,211,1350,Sirris 285 mm,Sirris 285 mm,6-axis IMU,Aluminum Alloy,Yes,Multiple,-,,verified,bikes-csv
cake-bukk,CAKE,Bukk,emoto,,,https://ridecake.com/en/p/bukk,,,16,,,,89,,,,,Forged 6061 aluminum,Motor brake (app-adjustable),,,Official CAKE product page still live. Peak 16 kW; wheel torque 456 Nm; 2.9 kWh removable battery; street-legal optional. USD price not on current page. Availability/configurator status not confirmed beyond official listing.,messy,https://ridecake.com/en/p/bukk
cake-kalk,CAKE,Kalk,emoto,2024,,https://ridecake.com/en/p/kalk,,,11,,56,,,,CAKE / Ohlins depending on variant,,,,,,,"Official page lists peak 10/11 kW, wheel torque 280/252 Nm, top speed +90 km/h, weight 69-83 kg, off-road or street-legal A1. EST shipping Fall 2024. Variant-dependent; voltage/Ah/price not on landing page. Peak listed as 11 (upper official figure).",messy,https://ridecake.com/en/p/kalk
cake-makka,CAKE,Makka,emoto,2025,,https://ridecake.com/en/p/makka,,31,2.8,,28,68,70,,,,FOC,,yes,,,"Utility/commuter platform still sold. Official: top 25/45 km/h, range 54-110 km, peak 1/2.8 kW, weight 70/82 kg. Standard battery 31Ah / 1.5 kWh; XL 62Ah / 3.0 kWh. Row uses Flex-class 45 km/h / 2.8 kW and standard 31Ah; range 110 km max. Street legal.",messy,https://ridecake.com/en/p/makka
cake-osa,CAKE,Osa+,emoto,2025,,https://ridecake.com/en-US/p/osa,,,9,,56,68,87,,,,,,yes,,,"Osa+ motorcycle version: official +56 mph, up to 68 miles, 3.5 kWh, 5/9 kW, 192-215 lb (87-98 kg). Osa flex is 28 mph / 57 mi / 2.5 kWh. Street legal. Voltage/Ah not listed as simple pack V/Ah.",messy,https://ridecake.com/en-US/p/osa
can-am-origin,Can-Am,Origin,emoto,2026,11499,https://can-am.brp.com/on-road/us/en/models/motorcycles/dual-sport/origin.html,,,35,20,80,90,187,1503,KYB 43 mm inverted 255 mm,KYB HPG adjustable 255 mm,,,yes,Bright White; Carbon Black,2 years vehicle; 5 years battery / 31068 miles,ROTAX E-POWER liquid-cooled. 8.9 kWh. 47 hp peak / 27 hp continuous. City 90 / combined 71 mi. Dry weight 412 lb (187 kg). Active + passive regen. Origin '73 from $13499.,verified,https://can-am.brp.com/on-road/us/en/models/motorcycles/dual-sport/origin.html
can-am-pulse,Can-Am,Pulse,emoto,2026,10999,https://can-am.brp.com/content/dam/global/en/can-am-on-road/my26/documents/2-wheels/lr/ONRD-2WV-MY26-PULSE-SPEC-Page-ENNA-LR.pdf,,,35,20,80,100,177,1412,5.5 in (140 mm),SACHS twin-tube coil-over 5.5 in (140 mm),,,yes,Bright White; Carbon Black,,"Official 2026 Pulse spec sheet. ROTAX E-POWER 47 hp peak / 27 hp continuous. 8.9 kWh. City 100 / combined 80 / 55 mph sustained 55 mi. Curb 390 lb. Street naked, not dirt.",verified,https://can-am.brp.com/content/dam/global/en/can-am-on-road/my26/documents/2-wheels/lr/ONRD-2WV-MY26-PULSE-SPEC-Page-ENNA-LR.pdf
dust-moto-hightail,Dust Moto,Hightail,emoto,,10950,https://www.dustmoto.com/products/hightail,80,55,32,5,,70,,,260 mm WP fork,285 mm Ohlins,1200 A PMSM gearbox,Aluminum/aluminum sub-frame,Yes,-,-,garbled weight 220100.0; garbled wheelbase 140055; garbled top speed 75110 | URL verified 2026-08-20 | URL updated 2026-08-20 to live official/official-dealer page.,messy,https://www.dustmoto.com/products/hightail
e-ride-pro-ss-4.0,E Ride Pro,SS 4.0,emoto,2027,4999,https://gritshift.com/products/e-ride-pro-4-0-v1-19-18-wheels-18kw-e-moto,72,50,18,7,62,64,,1260,FastAce 220 mm front travel (SR-spec),,,,yes,,12-month limited,Sold by multiple US dealers as 2027 E Ride Pro SS 4.0 at $4999. 72V 50Ah / 3600 Wh pouch-cell. Range 64+ mi at 25 mph. Wheelbase 49.6 in. No manufacturer.com spec sheet found; dealer pages agree on 18 kW / 72V 50Ah. Top speed 60-62 mph depending on dealer.,messy,https://gritshift.com/products/e-ride-pro-4-0-v1-19-18-wheels-18kw-e-moto
e-ride-pro-mini,E-Ride Pro,Mini,emoto,,3599,https://www.eridepro.com/products/mini-r,72,30,8,3,50,40,55,1155,USD fork 200 mm,Mono-shock,FOC Vector Control,Steel frame,Yes,"Black,Red,Green",12 mo,URL updated 2026-08-20 to live official/official-dealer page.,verified,https://www.eridepro.com/products/mini-r
e-ride-pro-s,E-Ride Pro,S,emoto,,3999,https://www.eridepro.com/products/pro-s,72,30,8,3,50,43,128,1280,Sport,Sport rear,Sine-180A,Aluminum,Yes,Silver?,1 yr,,verified,bikes-csv
e-ride-pro-sr,E-Ride Pro,SR,emoto,,5699,https://www.eridepro.com/products/pro-sr,72,50,25,10,70,62,183,,FASTACE PRO,FASTACE PRO,Bluetooth regen,Aluminum,Yes,Black,1 yr,garbled wheelbase 50,messy,bikes-csv
e-ride-pro-ss-2,E-Ride Pro,SS 2.0,emoto,,4599,https://www.eridepro.com/products/pro-ss-2-0,72,40,12,5,60,50,139,1280,Adjustable,Sport rear,Sine-wave 180A,Aluminum,Yes,Black,1 yr,,verified,bikes-csv
e-ride-pro-ss-3,E-Ride Pro,SS 3.0,emoto,,4999,https://www.eridepro.com/products/pro-ss-3-0,72,50,15.8,6,62,64,167,1300,Adjustable sport,Adjustable sport,Sine-wave vector,Aluminum,Yes,Black,1 yr,,verified,bikes-csv
electric-motion-epure-race-18,Electric Motion,Epure Race 1.8,emoto,2026,11299,https://www.electricmotion-usa.com/epure-race-18-2026,50.4,,18,5,,,,,Aluminium TECH RACING Fork 175 mm,TECH TJ2 170 mm,,25CD4S,,,,1875 Wh pack on USA page (page headline says 1800 Wh). Same 5/18 kW powertrain as 2.5. Lighter battery 24.25 lb.,verified,https://www.electricmotion-usa.com/epure-race-18-2026
electric-motion-epure-race-25,Electric Motion,Epure Race 2.5,emoto,2026,11799,https://www.electricmotion-usa.com/epure-race-25-2026,50.4,,18,5,46.61,,74,1325,Aluminium TECH RACING Fork 175 mm,TECH TJ2 170 mm,,25CD4S,,,,2500 Wh Li-ion pack (Ah not stated as Ah). Weight 163.14 lb. Trials-focused gearbox-free 2026 chassis. 740 Nm wheel torque.,verified,https://www.electricmotion-usa.com/epure-race-25-2026
electric-motion-escape-r,Electric Motion,Escape R,emoto,2026,11999,https://www.electricmotion-usa.com/escape-r-2026,50.4,,18,5,52.8,,83,1331,Steel TECH fork with DLC; 175 mm travel,R 16 V; 170 mm travel,,15CDV6,FRB (fixed regenerative brake); optional PRB R,,,2026 flagship Escape distinct from catalog Escape SE. Official battery 3500 Wh / 50.4 V. Weight 183 lb. Wheelbase 52.4 in. Range given as up to 3.5 hours not miles. Peak typed 18 Kww on page.,verified,https://www.electricmotion-usa.com/escape-r-2026
electric-motion-escape-se,Electric Motion,Escape SE,emoto,2026,10399,https://www.electricmotion-usa.com/escape-se-2026,50.4,,11,6,46.6,37.9,82,1326,Steel TECH Fork with DLC 175 mm,R 16 V 170 mm,,25CD4S,yes,Midnight Blue; Forest Green,,2690 Wh pack. Weight 180.8 lb on spec table; body copy also says 80 kg — used 180.8 lb (82 kg). PRB progressive regenerative brake standard.,verified,https://www.electricmotion-usa.com/escape-se-2026
electric-motion-escape-x-plus,Electric Motion,Escape X+,emoto,2026,11799,https://www.electricmotion-usa.com/escape-x-plus-2026,50.4,,11,6,55.9,,90,1330,Inverted fork 35 mm; 250 mm travel,R 16 V,,25CD4S,PRB (progressive regenerative brake),,,2026 Escape X+ distinct from SE/R. Spec sheet 3800 Wh / 50.4 V; page hero also said 1800WH (conflict; used spec-sheet 3800 Wh). Weight 198 lb. Wheelbase 52.36 in. Range given as up to 4 hours.,messy,https://www.electricmotion-usa.com/escape-x-plus-2026
energica-eva-ribelle,Energica,Eva Ribelle,emoto,,,https://energicamotor.com/models/eva-ribelle,300,,126,110,125,261,260,1466,Marzocchi 45 mm; adj rebound/compression/preload,Bitubo rear mono; adj rebound/preload,Adaptive Control Inverter,Steel tubular trellis,,Stealth Grey; Rosso Corsa; Tricolore,2 years vehicle; 3 years / 31000 miles battery,Official current lineup. Sustained 147 HP (110 kW) / peak 169 HP (126 kW EMCE). Battery max 21.5 kWh / nominal 18.9 kWh. City range ~420 km. USD MSRP not on official page.,verified,https://energicamotor.com/models/eva-ribelle
energica-experia,Energica,Experia,emoto,,,https://energicamotor.com/models/experia,306,,75,60,112,261,260,1513,ZF Sachs 43 mm; 150 mm travel; adj preload/extension/compression,ZF Sachs; 150 mm wheel travel; adj extension/preload,,Front steel tubular trellis / aluminium side plates,Yes; High/Medium/Low/Off,Bormio ICE,3 years / 31000 miles,Official current lineup. 22.5 kWh max / 19.6 kWh nominal. Peak 102 hp (75 kW). USD MSRP not on official page.,verified,https://energicamotor.com/models/experia
evoke-ampx,Evoke,AmpX,emoto,,8580,https://www.evokemotorcycles.com,80,73,21,11,110,63,142,1490,HT 48 mm inverted fork 300 mm travel,PWD mono-shock 120 mm travel,Evoke sine-wave inverter 4.5 kW regen,Off-road motocross chassis,-,"Black,Yellow",Check with dealers,,verified,bikes-csv
fonz-nkd,Fonz,NKD,emoto,,,https://www.fonzmoto.com.au/pages/nkd-overview,,,,,68,,,,Premium hydraulic front,Adjustable rear sports shock,,Chromoly,Yes,Configurable,2 years or 10000 km; frame 7 years or 50000 km,Australian-made production mid-size e-moto (brief Nito NKD maps here). Official: 110 km/h max; city range up to 200 km depending on Powerpack. Modular 3 performance / 3 charging options. Shop prices in AUD; USD not published. Many powertrain specs config-dependent so left empty.,messy,https://www.fonzmoto.com.au/pages/nkd-overview
gowow-alpha,GoWow,Alpha,emoto,,5000,,72,28.8,8,3,80,47,85,1300,USD fork 41 mm,Monoshock,FOC Vector Control,Aluminum Alloy,Yes,"Black,Red,Blue",-,,verified,bikes-csv
havok-03,HAVOK,03,emoto,2026,11995,https://www.ridehavok.com/,,,,,80,,,,,,,,,,2-Year US,"Public site: O3 Series backcountry, 80 MPH, from $11995, pre-orders open, released 2026 Q2, designed/inspected in Los Angeles. No public voltage/kW/Ah table found. Internal wrap print spec labels 72V / 15KW / MODEL 03 / US SPEC — not used as public spec. Mini Series 45 MPH from $5995 listed as coming soon (not added).",messy,https://www.ridehavok.com/
hooga-7270,Hooga,7270,emoto,,5000,https://hoogapowersports.com/product/hooga-7270/,72,70,16,8,62,112,140,,231 lbs,200 mm travel,1000.8V 15A,Aluminum,Yes,"Black,Green,Grey",1 Year Standard,"garbled wheelbase 50; front suspension field looks like weight/size, not a fork",messy,bikes-csv
hooga-8850,Hooga,8850,emoto,,5000,https://hoogapowersports.com/product/hooga-8850/,88,50,25,10,71,87,140,,231 lbs,200 mm travel,1000.8V 15A,Aluminum,Yes,"Black,Red,Blue",1 Year Standard,"garbled wheelbase 50; front suspension field looks like weight/size, not a fork",messy,bikes-csv
horwin-cr6,Horwin,CR6,emoto,,,https://horwin.mt/cr6/,72,55,6.2,,59,93,134,1395,,,FOC,Aluminium magnesium alloy,,,,Specs from official Horwin Malta dealer page (Horwin CR6 / CR6 Pro). Max 95 kph / 150 km at 45 kph avg. Panasonic 18650 pack. CR6 Pro is gearbox variant not added separately. USD MSRP not published here.,messy,https://horwin.mt/cr6/
j2r-smol,J2R,Smol,emoto,,10200,https://j2r.bike/,83,35,35,8,110,150,100,1386,Inverted fork,Central monoshock,Brushless DC controller,Rear hub motor,8 kW hub motor,"Tubeless 120/70-17 F,130/70-17 R","Black, White, Red, Blue, Yellow",Brand column 'Super73' != inferred 'J2R'; Model column 'Sting' != inferred 'Smol' | Name is the real model; Super73/Sting tags were wrong,messy,bikes-csv
ktm-freeride-e,KTM,Freeride E,emoto,2027,,https://www.ktm.com/en-us/models/electric/freeride/2027-ktm-freeridee.html,50.4,110,19.2,11,59,,112,1453,WP Xact USD 43 mm 250 mm,WP Xplor PDS 250 mm,,Chrome-molybdenum steel,yes,Orange,,"Announced as 2025 street-legal refresh then delayed. Cycle News Apr 2026: returning as 2027 MY, early-summer availability, price TBA. Press: 11 kW nominal / 19.2 kW peak, 5.5 kWh. Cycle News 2027 table: 110 Ah / 5.54 kWh, 246.9 lb, 57.2 in wheelbase, 250/250 mm travel. Not confirmed in-stock at every dealer as of 2026-08-20. | URL updated 2026-08-20 to live official/official-dealer page.",messy,https://www.ktm.com/en-us/models/electric/freeride/2027-ktm-freeridee.html
kollter-es1-x-pro,Kollter,ES1-X Pro,emoto,,6995,https://www.kollterelectricmotorcycles.com/es1-xpro,72,31.5,11,11,60,70,,,Hydro-disc adjustable forks,Mono-shock adjustable preload,FOS system,Lightweight alloy frame,Not specified,"5-Year / 50,000 Miles",Yes,garbled weight 250290.0; garbled wheelbase 58,messy,bikes-csv
kuberg-freerider,Kuberg,Freerider,emoto,2025,,https://www.kuberg.com/en/freerider,48,20,14,,47,,40,1260,Manitou Dorado 200 mm,DNM Burner RB-RCP,KUBERG BLDC PRO 48V,Steel double cradle tube,,Black,,"Configurable: 8/12/14 kW controller; 20 or 30 Ah battery; 20/20, 24/24, or 26/24 wheels. Official top speed up to 75 km/h on 14 kW. Wheelbase 126 cm or 132 cm. Weight 40 or 44 kg. Battery_ah uses standard 20.",verified,https://www.kuberg.com/en/freerider
kuberg-ranger,Kuberg,Ranger,emoto,,,https://www.kuberg.com/en/ranger,48,24,14,,50,19,50,1280,Manitou Dorado 200 mm,DNM Burner-RCP-3 200 LBS,KUBERG BLDC PRO 48 V,Steel double cradle tube; powder-coated,Yes,Black; Military Green,,Official configurable 8/12/14 kW peak electrical draw. Battery 24 Ah or 48 Ah; range 19 or 38 mi; weight 50 or 57 kg. Top speed 50 mph is for 14 kW version. USD MSRP not on OEM page. Distinct from catalog Freerider.,verified,https://www.kuberg.com/en/ranger
livewire-s2-alpinista,LiveWire,S2 Alpinista,emoto,2025,12999,https://www.livewire.com/s2-alpinista-electric-motorcycle,,,63,,99,120,197,1443,Showa 43 mm inverted fully adjustable 4.72 in,Showa free-piston monoshock progressive linkage 4.72 in,,Modular structural cast aluminum powertrain,yes,Quasar Red; Liquid Black; Glacier Silver; Asphalt Black,2-year unlimited motorcycle; 5-year unlimited battery,10.5 kWh pack. 84 hp / 63 kW. City 120 / combined 89 / highway 71 mi. Weight 434 lb. Wheelbase 56.8 in. Roll-fwrd regen. Promo pricing has been lower; used current listed starting $12999.,verified,https://www.livewire.com/s2-alpinista-electric-motorcycle
livewire-s2-del-mar,LiveWire,S2 Del Mar,emoto,2024,11999,https://www.livewire.com/s2-del-mar-electric-motorcycle,,,63,,103,113,198,1453,Showa 43 mm inverted fully adjustable 4.73 in,Showa free-piston monoshock 4.73 in,,Modular structural cast aluminum powertrain,yes,Liquid Black; Millrace Blue; Nimbus Gray; Nightfall Blue; Asphalt Black,2-year unlimited motorcycle; 5-year unlimited battery,10.5 kWh. 84 hp / 63 kW. City 113 / combined 86 / highway 70. Weight 436 lb. Wheelbase 57.2 in. Page also shows 2024 promo $9999; starting price listed $11999.,verified,https://www.livewire.com/s2-del-mar-electric-motorcycle
livewire-s2-mulholland,LiveWire,S2 Mulholland,emoto,2026,11999,https://www.livewire.com/s2-mulholland-electric-motorcycle,,,63,,99,120,196,1468,Showa 43 mm inverted 1x1 cartridge; fully adjustable; 5.3 in travel,Showa free-piston monoshock progressive linkage; adj preload/rebound; 3.9 in travel,,Integrated modular cast aluminum; 2-piece cast sub-frame,Yes; roll-forward max regen,Liquid Black/Red; Liquid Black/Black; Lunar White/Gray,2-year unlimited mileage motorcycle; 5-year unlimited HV battery (30% degradation),Current S2 performance cruiser; distinct chassis/ergo from catalog Del Mar / Alpinista. Official 10.5 kWh pack; 84 hp / 63 kW. Weight 432 lb. Wheelbase 57.8 in.,verified,https://www.livewire.com/s2-mulholland-electric-motorcycle
livewire-s4-honcho-street,LiveWire,S4 Honcho Street,emoto,2026,5499,https://www.livewire.com/s4-honcho-electric-motos,,,,,59,53,121,,,,,,,,2-year unlimited mileage,Street-legal Honcho sibling. Weight 266 lb. Same 3.48 kWh removable packs / 59 mph / 53 mi city as Trail. Voltage/kW not published.,verified,https://www.livewire.com/s4-honcho-electric-motos
livewire-s4-honcho-trail,LiveWire,S4 Honcho Trail,emoto,2026,4999,https://www.livewire.com/s4-honcho-electric-motos,,,,,59,53,115,,,,,,,,1-year unlimited mileage,Production began late May 2026; official page Available Summer. Removable batteries 3.48 kWh. Weight 253 lb. Range also listed 73 mi at 20 mph sustained. Voltage/kW not published on product page.,verified,https://www.livewire.com/s4-honcho-electric-motos
maeving-rm1,Maeving,RM1,emoto,,6495,https://maeving.com/en-gb/pages/maeving-rm1-electric-motorcycle,50.4,42,4.4,3,45,80,111,,Telescopic fork; 110 mm travel,Dual shocks with preload adjustment; 80 mm travel,,CrMo steel cradle,,,2 years,Official urban e-moto. Dual-battery max range 80 mi / WMTC 63 mi; single-battery 40 / 29. Unladen weight 244 lb is single-battery. Battery 2 kWh LG MJ1; page also lists charging capacity 42 Ah. Bosch hub motor.,verified,https://maeving.com/en-gb/pages/maeving-rm1-electric-motorcycle
maeving-rm2,Maeving,RM2,emoto,2026,10995,https://maeving.com/en-us/products/maeving-rm2,,,11.1,7.2,70,80,,,,,,,,,,"2026 two-up model distinct from RM1. Official US product page: $10995, 70 mph, up to 80 miles, 11.1 kW peak. Explore page also states 7.2 kW motor / 261 Nm. Dual removable batteries.",verified,https://maeving.com/en-us/products/maeving-rm2
